id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name,field:phenology (foa)
9865839,2017-06-24 3:22:22 PM SAST,24/06/2017,2017-06-24 13:22:22 UTC,Africa/Johannesburg,764003,gabriel_15,,2018-02-15 07:32:45 UTC,2018-06-07 16:08:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9865839,https://inaturalist-open-data.s3.amazonaws.com/photos/13517650/medium.jpeg,,,,3,0,FALSE,2,"1 Knysna Rd, George, 6546, South Africa",-33.98370429,22.50729527,516,,,,516,,open,FALSE,gps,gps,,George Greater Municipality and marine,Western Cape,South Africa,Western Cape,Eden,Cape aloe,Aloe ferox,Cape Aloe,Plantae,124412,Asphodelaceae,Aloe,Aloe ferox,,
10787160,15/07/2011,15/07/2011,,Africa/Johannesburg,660426,outramps-tanniedi,Di Turner,2011-07-18 12:28:39 UTC,2018-06-07 16:14:22 UTC,research,CC0,https://www.inaturalist.org/observations/10787160,https://inaturalist-open-data.s3.amazonaws.com/photos/15093798/medium.jpg,,,<h3>Aloe ferox</h3><br>Leaf-succulent with astem up to 3m tall,6,0,FALSE,,Zebrasfontein,-33.80517,22.19517,1,,,,1,,open,FALSE,,,,Oudtshoorn,Western Cape,South Africa,Western Cape,Eden,Cape aloe,Aloe ferox,Cape Aloe,Plantae,124412,Asphodelaceae,Aloe,Aloe ferox,,
10787636,29/07/2011,29/07/2011,,Africa/Johannesburg,660426,outramps-tanniedi,Di Turner,2011-08-02 01:09:32 UTC,2018-06-07 16:14:07 UTC,research,CC0,https://www.inaturalist.org/observations/10787636,https://inaturalist-open-data.s3.amazonaws.com/photos/15094724/medium.jpg,,,<h3>Aloe ferox</h3><br>Leaf succulent with a stem up to 3m tall,6,0,FALSE,,De Hoek Circuit Swartberg Reserve: On the De Hoek Circuit in the Swartberg Reserve,-33.36914,22.16533,1,,,,1,,open,FALSE,,,,Oudtshoorn,Western Cape,South Africa,Western Cape,Eden,Cape aloe,Aloe ferox,Cape Aloe,Plantae,124412,Asphodelaceae,Aloe,Aloe ferox,,
10790153,14/08/2011,14/08/2011,,Africa/Johannesburg,7682,nicky,Nicola van Berkel,2011-09-01 07:26:07 UTC,2018-06-07 16:13:47 UTC,research,CC-BY,https://www.inaturalist.org/observations/10790153,https://inaturalist-open-data.s3.amazonaws.com/photos/15099592/medium.jpg,,,<h3>Aloe ferox</h3><br>,4,0,FALSE,,Pierre Ferreira Hiking Trail,-33.28642,23.51064,1,,,,1,,open,FALSE,,,,Willowmore,Eastern Cape,South Africa,Eastern Cape,Cacadu,Cape aloe,Aloe ferox,Cape Aloe,Plantae,124412,Asphodelaceae,Aloe,Aloe ferox,,
10799481,26/05/2012,26/05/2012,,Africa/Johannesburg,660426,outramps-tanniedi,Di Turner,2012-06-15 01:15:18 UTC,2018-08-26 12:02:52 UTC,research,CC0,https://www.inaturalist.org/observations/10799481,https://inaturalist-open-data.s3.amazonaws.com/photos/15116556/medium.jpg,,,<h3>Aloe ferox dt</h3><br>Leaf succulent with a stem up to 3m tall,9,0,FALSE,,Waboomskraal in the Outeniquas: Waboomskraal in the Outeniquas,-33.83528,22.33847,1,,,,1,,open,FALSE,,,,George Greater Municipality and marine,Western Cape,South Africa,Western Cape,Eden,Cape aloe,Aloe ferox,Cape Aloe,Plantae,124412,Asphodelaceae,Aloe,Aloe ferox,,
10802229,22/06/2012,22/06/2012,,Africa/Johannesburg,7682,nicky,Nicola van Berkel,2012-06-25 21:08:16 UTC,2018-08-26 12:02:41 UTC,research,CC-BY,https://www.inaturalist.org/observations/10802229,https://inaturalist-open-data.s3.amazonaws.com/photos/15122139/medium.jpg,,rural,<h3>Aloe ferox</h3><br>Leaves are harvested for aloe juice (chrysophanic acid) which is used for ointments for healing skin ailments.,5,0,FALSE,,Fransmanshoek,-34.28,21.85108,1,,,,1,,open,FALSE,,,,Mossel,Western Cape,South Africa,Western Cape,Eden,Cape aloe,Aloe ferox,Cape Aloe,Plantae,124412,Asphodelaceae,Aloe,Aloe ferox,,
10802259,23/06/2012,23/06/2012,,Africa/Johannesburg,660426,outramps-tanniedi,Di Turner,2012-06-26 01:13:56 UTC,2018-08-26 12:02:30 UTC,research,CC0,https://www.inaturalist.org/observations/10802259,https://inaturalist-open-data.s3.amazonaws.com/photos/15122195/medium.jpg,,rural,<h3>Aloe ferox dt</h3><br>Leaf-succulent with a stem up to 3m tall.  There was no evidence of harvesting.,6,0,FALSE,,Vleesbaai and surrounds: Vleesbaai and surrounds,-34.28108,21.86075,1,,,,1,,open,FALSE,,,,Mossel,Western Cape,South Africa,Western Cape,Eden,Cape aloe,Aloe ferox,Cape Aloe,Plantae,124412,Asphodelaceae,Aloe,Aloe ferox,,
10805286,22/06/2012,22/06/2012,,Africa/Johannesburg,660426,outramps-tanniedi,Di Turner,2012-07-03 01:34:54 UTC,2018-11-19 09:12:05 UTC,research,CC0,https://www.inaturalist.org/observations/10805286,https://inaturalist-open-data.s3.amazonaws.com/photos/15128233/medium.jpg,,rural,"<h3>Aloe ferox mw</h3><br><p>Single-stemmed succulent shrub to 3 m, covered below with dry leaves. Leaves broadly lanceolate, margins and often lower surface coarsely toothed. Flowers in dense, cylindrical, branched racemes, nodding and slightly upcurved, orange to reddish, anthers well exserted. Visted by Cape Honey Bee - Apis mellifera subsp. capensis</p>",6,0,FALSE,,Vleesbaai and surrounds: Vleesbaai and surrounds on the Southern Cape Coast,-34.27964,21.86031,1,,,,1,,open,FALSE,,,,Mossel,Western Cape,South Africa,Western Cape,Eden,Cape aloe,Aloe ferox,Cape Aloe,Plantae,124412,Asphodelaceae,Aloe,Aloe ferox,,
10807675,03/07/2008,03/07/2008,,Africa/Johannesburg,383144,tonyrebelo,Tony Rebelo,2012-01-13 16:47:01 UTC,2023-10-13 09:04:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10807675,https://inaturalist-open-data.s3.amazonaws.com/photos/15133080/medium.jpg,,,<h3>Aloe</h3><br>,5,0,FALSE,,Suurberg: Suurberg Section Addo Elephant National Park,-33.34205,25.738273,1,,,,1,,open,FALSE,,,,Alexandria,Eastern Cape,South Africa,Eastern Cape,Cacadu,Cape aloe,Aloe ferox,Cape Aloe,Plantae,124412,Asphodelaceae,Aloe,Aloe ferox,,
10815501,24/06/2010,24/06/2010,,Africa/Johannesburg,674715,chris_wahlberg,Chris Wahlberg,2012-07-27 10:19:04 UTC,2018-11-19 09:08:50 UTC,research,CC-BY,https://www.inaturalist.org/observations/10815501,https://inaturalist-open-data.s3.amazonaws.com/photos/15148363/medium.jpg,,"rural, Eastern Cape, ALOACEAE, Willowmore","<h3>Aloe ferox</h3><br>ALOACEAE.<br><br>Leaves boat shaped, spreading upwards and outwards. Stems covered with dry leaves. Flowers in long candle.",9,0,FALSE,,"Cacadu, ZA-EC, ZA",-33.0684753,23.46058514,1100,,,,29012,obscured,open,TRUE,,,,Willowmore,Eastern Cape,South Africa,Eastern Cape,Cacadu,Cape aloe,Aloe ferox,Cape Aloe,Plantae,124412,Asphodelaceae,Aloe,Aloe ferox,,
10818023,27/07/2012,27/07/2012,,Africa/Johannesburg,687366,andrewdeacon,Andrew Deacon,2012-07-31 03:47:09 UTC,2018-08-26 12:08:19 UTC,research,CC0,https://www.inaturalist.org/observations/10818023,https://inaturalist-open-data.s3.amazonaws.com/photos/15153269/medium.jpg,,,<h3>Aloe ferox</h3><br>,5,0,FALSE,,Umgeni River Nature Reserve: Umgeni River Nature Reserve WESSA,-29.47861,30.2654,1,,,,1,,open,FALSE,,,,Lions River,KwaZulu-Natal,South Africa,KwaZulu-Natal,Umgungundlovu,Cape aloe,Aloe ferox,Cape Aloe,Plantae,124412,Asphodelaceae,Aloe,Aloe ferox,,
10819045,04/10/2012,04/10/2012,,Africa/Johannesburg,7682,nicky,Nicola van Berkel,2012-11-13 07:11:06 UTC,2018-05-08 04:38:51 UTC,research,CC-BY,https://www.inaturalist.org/observations/10819045,https://inaturalist-open-data.s3.amazonaws.com/photos/15155144/medium.jpg,,rural,<h3>Aloe ferox</h3><br>About 3m tall.<br><br>My camera struggled with the shade and sun so I have not done these beautiful specimens or the scenery justice.<br><br>,8,0,FALSE,,Baviaanskloof,-33.59433,23.71797,1,,,,1,,open,FALSE,,,,Willowmore,Eastern Cape,South Africa,Eastern Cape,Cacadu,Cape aloe,Aloe ferox,Cape Aloe,Plantae,124412,Asphodelaceae,Aloe,Aloe ferox,,
10819177,02/08/2012,02/08/2012,,Africa/Johannesburg,697983,lorainevdb,,2012-08-02 07:37:56 UTC,2018-11-19 09:11:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10819177,https://inaturalist-open-data.s3.amazonaws.com/photos/15155355/medium.jpg,,rural,<h3>Aloe ferox in bloom</h3><br>,8,0,FALSE,,"R75, Jansenville: Noorsveld",-32.9304,24.6707,1,,,,1,,open,FALSE,,,,Jansenville,Eastern Cape,South Africa,Eastern Cape,Cacadu,Cape aloe,Aloe ferox,Cape Aloe,Plantae,124412,Asphodelaceae,Aloe,Aloe ferox,,
10821213,20/07/2012,20/07/2012,,Africa/Johannesburg,383144,tonyrebelo,Tony Rebelo,2012-11-15 10:23:49 UTC,2023-10-13 09:04:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10821213,https://inaturalist-open-data.s3.amazonaws.com/photos/15159382/medium.jpg,,,<h3>Aloe</h3><br>,6,0,FALSE,,Salt River Trail summit beach shortcut: De Vasselot section Garden Route National Park,-33.98566256,23.54286431,1,,,,1,,open,FALSE,,,,Knysna,Western Cape,South Africa,Western Cape,Eden,Cape aloe,Aloe ferox,Cape Aloe,Plantae,124412,Asphodelaceae,Aloe,Aloe ferox,,
10827058,09/09/2012,09/09/2012,,Africa/Johannesburg,671968,petrabroddle,Petra Broddle,2013-01-20 05:51:48 UTC,2021-08-04 17:12:37 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10827058,https://inaturalist-open-data.s3.amazonaws.com/photos/15170608/medium.jpg,,rural,<h3>Aloe ferox - P1130392</h3><br>Over 2m in height.,10,0,FALSE,,"Cacadu, ZA-EC, ZA",-32.98128194,24.62731902,1,,,,29039,obscured,open,TRUE,,,,Jansenville,Eastern Cape,South Africa,Eastern Cape,Cacadu,Cape aloe,Aloe ferox,Cape Aloe,Plantae,124412,Asphodelaceae,Aloe,Aloe ferox,,
10859117,11/08/2012,11/08/2012,,Africa/Johannesburg,662724,bushboy,Peter Vos,2013-03-02 11:37:47 UTC,2018-11-19 09:13:39 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10859117,https://inaturalist-open-data.s3.amazonaws.com/photos/15235781/medium.jpg,,urban,"<h3>aloe, f</h3><br>",2,0,FALSE,,"Marion Ave, Scottburgh",-30.3012,30.7427,1,,,,1,,open,FALSE,,,,Ugu,KwaZulu-Natal,South Africa,KwaZulu-Natal,Ugu,Cape aloe,Aloe ferox,Cape Aloe,Plantae,124412,Asphodelaceae,Aloe,Aloe ferox,,
10877802,02/08/2013,02/08/2013,,Pretoria,677293,peterrwarren,Peter Warren,2013-08-05 09:29:54 UTC,2023-03-22 14:04:55 UTC,research,CC0,https://www.inaturalist.org/observations/10877802,https://inaturalist-open-data.s3.amazonaws.com/photos/15273622/medium.jpg,,"rural, indigenous","<h3>Last stand(?) and flowering.</h3>Yes it really at this angle. Most of the <em>Aloe Ferox</em> are over, and maybe the last stand of the plant.",7,0,FALSE,,"Umngeni Nature Reserve, Howick: Umngeni Nature Reserve, Black Eagle Trail, Howick. Approximate to trail only.",-29.48365,30.26141167,1,,,,1,,open,FALSE,,,,Lions River,KwaZulu-Natal,South Africa,KwaZulu-Natal,Umgungundlovu,Aloe ferox,Aloe ferox,Cape Aloe,Plantae,124412,Asphodelaceae,Aloe,Aloe ferox,,
10886439,07/06/2013,07/06/2013,,Africa/Johannesburg,7682,nicky,Nicola van Berkel,2013-06-12 08:10:22 UTC,2018-11-19 09:09:09 UTC,research,CC-BY,https://www.inaturalist.org/observations/10886439,https://inaturalist-open-data.s3.amazonaws.com/photos/15291868/medium.jpg,,,<h3>Aloe ferox</h3><br>,8,0,FALSE,,De Hoek Circuit in the Swartberg,-33.36422,22.17,1,,,,1,,open,FALSE,,,,Oudtshoorn,Western Cape,South Africa,Western Cape,Eden,Cape aloe,Aloe ferox,Cape Aloe,Plantae,124412,Asphodelaceae,Aloe,Aloe ferox,,
10886713,21/06/2013,21/06/2013,,Africa/Johannesburg,745636,lizevonstaden,Lize von Staden,2013-06-30 19:21:03 UTC,2018-05-08 04:32:58 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10886713,https://inaturalist-open-data.s3.amazonaws.com/photos/15292439/medium.jpg,,KleinKarooCycle,"<h3>Bitteraalwyn, and some snow</h3><br><p>This is an intensively farmed valley, and it is hard to say what the original vegetation was (renosterveld?) These aloes were probably planted - most of the farms in this area have them, often around the farm gate. There was still a bit of snow on Towerkop in the background.</p>",6,0,FALSE,,Koedoeskloof Valley,-33.50481,21.17027,1,,,,1,,open,FALSE,,,,Ladismith,Western Cape,South Africa,Western Cape,Eden,Cape aloe,Aloe ferox,Cape Aloe,Plantae,124412,Asphodelaceae,Aloe,Aloe ferox,,
10907782,06/07/2013,06/07/2013,,Africa/Johannesburg,748380,graham_g,,2013-07-07 13:23:18 UTC,2018-11-28 00:52:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10907782,https://inaturalist-open-data.s3.amazonaws.com/photos/15334378/medium.jpg,,urban,<h3>Aloe ferox</h3><br>,4,0,FALSE,,"Macdonald Ave, Glenmore Beach",-31.002,30.2566,1,,,,1,,open,FALSE,,,,Port Shepstone,KwaZulu-Natal,South Africa,KwaZulu-Natal,Ugu,Cape aloe,Aloe ferox,Cape Aloe,Plantae,124412,Asphodelaceae,Aloe,Aloe ferox,,
